metric,value
Total Net Profit,269.48
Balance Drawdown Absolute,8.78
Equity Drawdown Absolute,33.31
Balance Drawdown Maximal,163.74 (1.58%)
Equity Drawdown Maximal,212.40 (2.05%)
Balance Drawdown Relative,1.58% (163.74)
Equity Drawdown Relative,2.05% (212.40)
Profit Factor,1.50
Expected Payoff,5.28
Recovery Factor,1.27
Sharpe Ratio,15.67
Total Trades,51
Short Trades (won %),51 (58.82%)
Long Trades (won %),0 (0.00%)
Total Deals,102
Profit Trades (% of total),30 (58.82%)
Loss Trades (% of total),21 (41.18%)
Largest profit trade,104.55
Largest loss trade,-53.09
Average profit trade,27.02
Average loss trade,-22.25
Maximum consecutive wins ($),6 (287.99)
Maximum consecutive losses ($),3 (-34.08)
Maximal consecutive profit (count),287.99 (6)
Maximal consecutive loss (count),-98.18 (2)
Average consecutive wins,2
Average consecutive losses,2
