metric,value
Total Net Profit,-1 269.91
Balance Drawdown Absolute,1 269.91
Equity Drawdown Absolute,1 272.19
Balance Drawdown Maximal,1 549.99 (15.08%)
Equity Drawdown Maximal,1 561.66 (15.18%)
Balance Drawdown Relative,15.08% (1 549.99)
Equity Drawdown Relative,15.18% (1 561.66)
Profit Factor,0.85
Expected Payoff,-1.86
Recovery Factor,-0.81
Sharpe Ratio,-5.00
Total Trades,682
Short Trades (won %),349 (51.00%)
Long Trades (won %),333 (57.66%)
Total Deals,1364
Profit Trades (% of total),370 (54.25%)
Loss Trades (% of total),312 (45.75%)
Largest profit trade,35.67
Largest loss trade,-38.40
Average profit trade,19.60
Average loss trade,-21.91
Maximum consecutive wins ($),10 (207.25)
Maximum consecutive losses ($),7 (-144.76)
Maximal consecutive profit (count),207.25 (10)
Maximal consecutive loss (count),-144.76 (7)
Average consecutive wins,2
Average consecutive losses,2
