year,profit_factor,net_profit,max_dd_pct,total_trades,win_rate,expected_payoff,sharpe
2018,0.97,-82.96,1 011.08 (10.11%),62,31 (50.00%),-1.34,-3.00
2019,39.76,338.03,3.21 (0.03%),4,4 (100.00%),86.69,4.28
2020,0.91,-276.04,1 004.38 (10.04%),61,29 (47.54%),-4.53,-5.00
2021,2.06,752.97,137.36 (1.27%),22,15 (68.18%),34.23,59.65
2022,1.19,856.14,845.64 (8.26%),99,56 (56.57%),8.65,6.41
