metric,value
Total Net Profit,-6 035.00
Balance Drawdown Absolute,6 035.00
Equity Drawdown Absolute,6 035.00
Balance Drawdown Maximal,7 341.21 (64.93%)
Equity Drawdown Maximal,7 409.36 (65.14%)
Balance Drawdown Relative,64.93% (7 341.21)
Equity Drawdown Relative,65.14% (7 409.36)
Profit Factor,0.86
Expected Payoff,-5.28
Recovery Factor,-0.81
Sharpe Ratio,-5.00
Total Trades,1142
Short Trades (won %),571 (41.16%)
Long Trades (won %),571 (38.18%)
Total Deals,2284
Profit Trades (% of total),453 (39.67%)
Loss Trades (% of total),689 (60.33%)
Largest profit trade,180.32
Largest loss trade,-119.18
Average profit trade,82.72
Average loss trade,-57.74
Maximum consecutive wins ($),7 (1 003.31)
Maximum consecutive losses ($),11 (-459.73)
Maximal consecutive profit (count),1 003.31 (7)
Maximal consecutive loss (count),-727.96 (8)
Average consecutive wins,2
Average consecutive losses,2
