metric,value
Total Net Profit,-5 511.03
Balance Drawdown Absolute,5 539.93
Equity Drawdown Absolute,5 542.14
Balance Drawdown Maximal,6 214.49 (58.22%)
Equity Drawdown Maximal,6 258.79 (58.40%)
Balance Drawdown Relative,58.22% (6 214.49)
Equity Drawdown Relative,58.40% (6 258.79)
Profit Factor,0.83
Expected Payoff,-4.82
Recovery Factor,-0.88
Sharpe Ratio,-5.00
Total Trades,1143
Short Trades (won %),572 (59.62%)
Long Trades (won %),571 (55.17%)
Total Deals,2286
Profit Trades (% of total),656 (57.39%)
Loss Trades (% of total),487 (42.61%)
Largest profit trade,78.10
Largest loss trade,-129.94
Average profit trade,42.13
Average loss trade,-62.29
Maximum consecutive wins ($),11 (708.43)
Maximum consecutive losses ($),7 (-340.68)
Maximal consecutive profit (count),708.43 (11)
Maximal consecutive loss (count),-498.59 (5)
Average consecutive wins,2
Average consecutive losses,2
