metric,value
Total Net Profit,-7 043.73
Balance Drawdown Absolute,7 043.73
Equity Drawdown Absolute,7 044.33
Balance Drawdown Maximal,8 240.78 (73.60%)
Equity Drawdown Maximal,8 422.71 (74.02%)
Balance Drawdown Relative,73.60% (8 240.78)
Equity Drawdown Relative,74.02% (8 422.71)
Profit Factor,0.82
Expected Payoff,-6.17
Recovery Factor,-0.84
Sharpe Ratio,-5.00
Total Trades,1142
Short Trades (won %),571 (34.33%)
Long Trades (won %),571 (32.40%)
Total Deals,2284
Profit Trades (% of total),381 (33.36%)
Loss Trades (% of total),761 (66.64%)
Largest profit trade,220.32
Largest loss trade,-117.16
Average profit trade,86.55
Average loss trade,-48.48
Maximum consecutive wins ($),6 (944.62)
Maximum consecutive losses ($),11 (-705.00)
Maximal consecutive profit (count),944.62 (6)
Maximal consecutive loss (count),-768.14 (8)
Average consecutive wins,1
Average consecutive losses,3
