dev_mult,total_trades,profit_factor,net_profit,max_dd_pct,win_rate,expected_payoff,sharpe
2.0,627,0.80,-1 390.01,1 530.37 (15.09%),285 (45.45%),-2.22,-5.00
3.0,500,1.15,701.98,413.34 (4.02%),262 (52.40%),1.40,9.02
4.0,118,1.39,341.56,164.29 (1.61%),62 (52.54%),2.89,19.31
5.0,46,0.96,-16.57,119.94 (1.19%),22 (47.83%),-0.36,-2.39
