metric,value
Total Net Profit,207.54
Balance Drawdown Absolute,1.36
Equity Drawdown Absolute,3.61
Balance Drawdown Maximal,107.04 (1.04%)
Equity Drawdown Maximal,137.58 (1.33%)
Balance Drawdown Relative,1.04% (107.04)
Equity Drawdown Relative,1.33% (137.58)
Profit Factor,1.50
Expected Payoff,3.99
Recovery Factor,1.51
Sharpe Ratio,17.62
Total Trades,52
Short Trades (won %),52 (57.69%)
Long Trades (won %),0 (0.00%)
Total Deals,104
Profit Trades (% of total),30 (57.69%)
Loss Trades (% of total),22 (42.31%)
Largest profit trade,89.11
Largest loss trade,-50.25
Average profit trade,20.85
Average loss trade,-15.87
Maximum consecutive wins ($),4 (71.81)
Maximum consecutive losses ($),4 (-66.93)
Maximal consecutive profit (count),135.84 (3)
Maximal consecutive loss (count),-66.93 (4)
Average consecutive wins,2
Average consecutive losses,1
