strategy_id,version,symbol,open_time,close_time,side,lots,entry_price,exit_price,commission,swap,profit,balance_after
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.17 03:15:00,2017.03.17 12:00:00,sell,0.14,113.443,113.226,0.00,0.00,26.83,10 026.83
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.20 03:15:00,2017.03.20 12:00:00,sell,0.14,112.554,112.822,0.00,0.00,-33.26,9 993.57
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.21 03:15:00,2017.03.21 05:22:29,sell,0.14,112.390,112.791,0.00,0.00,-49.77,9 943.80
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.22 03:15:00,2017.03.22 12:00:00,sell,0.14,111.668,111.343,0.00,0.00,40.86,9 984.66
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.23 03:15:00,2017.03.23 12:00:00,sell,0.13,111.398,110.989,0.00,0.00,47.91,10 032.57
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.24 03:15:00,2017.03.24 12:00:00,sell,0.13,111.312,111.144,0.00,0.00,19.65,10 052.22
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.27 03:15:00,2017.03.27 12:00:00,sell,0.13,110.519,110.311,0.00,0.00,24.51,10 076.73
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.28 03:15:00,2017.03.28 12:00:00,sell,0.13,110.770,110.691,0.00,0.00,9.28,10 086.01
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.29 03:15:00,2017.03.29 12:00:00,sell,0.13,111.152,110.970,0.00,0.00,21.32,10 107.33
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.30 03:15:00,2017.03.30 12:00:00,sell,0.14,111.231,111.050,0.00,0.00,22.82,10 130.15
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.03.31 03:15:00,2017.03.31 06:13:37,sell,0.14,111.780,112.180,0.00,0.00,-49.92,10 080.23
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.18 03:15:00,2017.09.18 12:00:00,sell,0.14,111.137,111.333,0.00,0.00,-24.65,10 055.58
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.19 03:15:00,2017.09.19 12:00:00,sell,0.13,111.492,111.567,0.00,0.00,-8.74,10 046.84
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.20 03:15:00,2017.09.20 12:00:00,sell,0.14,111.524,111.361,0.00,0.00,20.49,10 067.33
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.21 03:15:00,2017.09.21 12:00:00,sell,0.14,112.616,112.317,0.00,0.00,37.27,10 104.60
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.22 03:15:00,2017.09.22 12:00:00,sell,0.14,112.494,112.045,0.00,0.00,56.10,10 160.70
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.25 03:15:00,2017.09.25 12:00:00,sell,0.14,112.465,112.124,0.00,0.00,42.58,10 203.28
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.26 03:15:00,2017.09.26 12:00:00,sell,0.14,111.696,111.736,0.00,0.00,-5.01,10 198.27
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.27 03:15:00,2017.09.27 10:25:29,sell,0.14,112.419,112.823,0.00,0.00,-50.13,10 148.14
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.28 03:15:00,2017.09.28 09:01:41,sell,0.14,112.768,113.168,0.00,0.00,-49.48,10 098.66
day_trading/yen_fiscal_repatriation,v1,USDJPY,2017.09.29 03:15:00,2017.09.29 12:00:00,sell,0.14,112.563,112.555,0.00,0.00,1.00,10 099.66
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.19 03:15:00,2018.03.19 12:00:00,sell,0.14,106.085,105.912,0.00,0.00,22.87,10 122.53
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.20 03:15:00,2018.03.20 10:16:29,sell,0.13,106.019,106.424,0.00,0.00,-49.47,10 073.06
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.21 03:15:00,2018.03.21 12:00:00,sell,0.13,106.471,106.323,0.00,0.00,18.10,10 091.16
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.22 03:15:00,2018.03.22 12:00:00,sell,0.13,105.929,105.769,0.00,0.00,19.67,10 110.83
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.23 03:15:00,2018.03.23 12:00:00,sell,0.13,104.970,104.898,0.00,0.00,8.92,10 119.75
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.26 03:15:00,2018.03.26 12:00:00,sell,0.13,104.778,104.964,0.00,0.00,-23.04,10 096.71
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.27 03:15:00,2018.03.27 12:00:00,sell,0.13,105.535,105.569,0.00,0.00,-4.19,10 092.52
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.28 03:15:00,2018.03.28 12:00:00,sell,0.13,105.600,105.575,0.00,0.00,3.08,10 095.60
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.29 03:15:00,2018.03.29 12:00:00,sell,0.13,106.854,106.659,0.00,0.00,23.77,10 119.37
day_trading/yen_fiscal_repatriation,v1,USDJPY,2018.03.30 03:15:00,2018.03.30 12:00:00,sell,0.13,106.473,106.185,0.00,0.00,35.26,10 154.63
