metric,value
Total Net Profit,-8 134.32
Balance Drawdown Absolute,8 337.58
Equity Drawdown Absolute,8 347.45
Balance Drawdown Maximal,9 605.31 (85.25%)
Equity Drawdown Maximal,9 623.05 (85.34%)
Balance Drawdown Relative,85.25% (9 605.31)
Equity Drawdown Relative,85.34% (9 623.05)
Profit Factor,0.81
Expected Payoff,-6.27
Recovery Factor,-0.85
Sharpe Ratio,-5.00
Total Trades,1297
Short Trades (won %),674 (31.60%)
Long Trades (won %),623 (32.10%)
Total Deals,2594
Profit Trades (% of total),413 (31.84%)
Loss Trades (% of total),884 (68.16%)
Largest profit trade,219.70
Largest loss trade,-114.84
Average profit trade,84.06
Average loss trade,-44.61
Maximum consecutive wins ($),6 (210.70)
Maximum consecutive losses ($),16 (-329.30)
Maximal consecutive profit (count),1 047.00 (5)
Maximal consecutive loss (count),-895.72 (14)
Average consecutive wins,1
Average consecutive losses,3
