metric,value
Total Net Profit,-173.37
Balance Drawdown Absolute,211.64
Equity Drawdown Absolute,213.40
Balance Drawdown Maximal,211.64 (2.12%)
Equity Drawdown Maximal,229.36 (2.29%)
Balance Drawdown Relative,2.12% (211.64)
Equity Drawdown Relative,2.29% (229.36)
Profit Factor,0.79
Expected Payoff,-2.09
Recovery Factor,-0.76
Sharpe Ratio,-5.00
Total Trades,83
Short Trades (won %),35 (57.14%)
Long Trades (won %),48 (41.67%)
Total Deals,166
Profit Trades (% of total),40 (48.19%)
Loss Trades (% of total),43 (51.81%)
Largest profit trade,54.74
Largest loss trade,-33.00
Average profit trade,16.80
Average loss trade,-18.42
Maximum consecutive wins ($),4 (102.75)
Maximum consecutive losses ($),6 (-133.37)
Maximal consecutive profit (count),102.75 (4)
Maximal consecutive loss (count),-133.37 (6)
Average consecutive wins,2
Average consecutive losses,2
