metric,value
Total Net Profit,194.05
Balance Drawdown Absolute,1.33
Equity Drawdown Absolute,21.31
Balance Drawdown Maximal,3.21 (0.03%)
Equity Drawdown Maximal,46.72 (0.46%)
Balance Drawdown Relative,0.03% (3.21)
Equity Drawdown Relative,0.46% (46.72)
Profit Factor,43.74
Expected Payoff,99.30
Recovery Factor,4.15
Sharpe Ratio,2.96
Total Trades,2
Short Trades (won %),1 (100.00%)
Long Trades (won %),1 (100.00%)
Total Deals,4
Profit Trades (% of total),2 (100.00%)
Loss Trades (% of total),0 (0.00%)
Largest profit trade,101.12
Largest loss trade,0.00
Average profit trade,99.30
Average loss trade,0.00
Maximum consecutive wins ($),2 (198.59)
Maximum consecutive losses ($),0 (0.00)
Maximal consecutive profit (count),198.59 (2)
Maximal consecutive loss (count),0.00 (0)
Average consecutive wins,2
Average consecutive losses,0
