metric,value
Total Net Profit,1 969.08
Balance Drawdown Absolute,634.30
Equity Drawdown Absolute,657.90
Balance Drawdown Maximal,707.79 (7.03%)
Equity Drawdown Maximal,819.54 (8.07%)
Balance Drawdown Relative,7.03% (707.79)
Equity Drawdown Relative,8.07% (819.54)
Profit Factor,1.42
Expected Payoff,17.58
Recovery Factor,2.40
Sharpe Ratio,15.75
Total Trades,112
Short Trades (won %),60 (55.00%)
Long Trades (won %),52 (63.46%)
Total Deals,224
Profit Trades (% of total),66 (58.93%)
Loss Trades (% of total),46 (41.07%)
Largest profit trade,121.37
Largest loss trade,-118.94
Average profit trade,101.32
Average loss trade,-97.76
Maximum consecutive wins ($),6 (637.52)
Maximum consecutive losses ($),5 (-535.18)
Maximal consecutive profit (count),637.52 (6)
Maximal consecutive loss (count),-535.18 (5)
Average consecutive wins,2
Average consecutive losses,2
