metric,value
Total Net Profit,708.92
Balance Drawdown Absolute,5.26
Equity Drawdown Absolute,11.84
Balance Drawdown Maximal,309.15 (2.98%)
Equity Drawdown Maximal,339.46 (3.27%)
Balance Drawdown Relative,2.98% (309.15)
Equity Drawdown Relative,3.27% (339.46)
Profit Factor,1.55
Expected Payoff,13.63
Recovery Factor,2.09
Sharpe Ratio,23.64
Total Trades,52
Short Trades (won %),21 (71.43%)
Long Trades (won %),31 (61.29%)
Total Deals,104
Profit Trades (% of total),34 (65.38%)
Loss Trades (% of total),18 (34.62%)
Largest profit trade,111.69
Largest loss trade,-107.10
Average profit trade,58.64
Average loss trade,-61.13
Maximum consecutive wins ($),4 (334.14)
Maximum consecutive losses ($),3 (-274.61)
Maximal consecutive profit (count),334.14 (4)
Maximal consecutive loss (count),-274.61 (3)
Average consecutive wins,2
Average consecutive losses,1
