metric,value
Total Net Profit,84.07
Balance Drawdown Absolute,35.47
Equity Drawdown Absolute,44.91
Balance Drawdown Maximal,95.45 (0.95%)
Equity Drawdown Maximal,109.28 (1.09%)
Balance Drawdown Relative,0.95% (95.45)
Equity Drawdown Relative,1.09% (109.28)
Profit Factor,1.18
Expected Payoff,1.68
Recovery Factor,0.77
Sharpe Ratio,6.82
Total Trades,50
Short Trades (won %),50 (52.00%)
Long Trades (won %),0 (0.00%)
Total Deals,100
Profit Trades (% of total),26 (52.00%)
Loss Trades (% of total),24 (48.00%)
Largest profit trade,58.77
Largest loss trade,-50.50
Average profit trade,21.42
Average loss trade,-17.06
Maximum consecutive wins ($),6 (126.59)
Maximum consecutive losses ($),5 (-63.51)
Maximal consecutive profit (count),126.59 (6)
Maximal consecutive loss (count),-63.51 (5)
Average consecutive wins,2
Average consecutive losses,2
