dev_mult,total_trades,profit_factor,net_profit,max_dd_pct,win_rate,expected_payoff,sharpe
2.0,1000,0.88,-1 500.64,1 500.64 (15.01%),473 (47.30%),-1.50,-5.00
3.0,1320,0.89,-1 509.41,1 509.41 (15.09%),663 (50.23%),-1.14,-5.00
4.0,495,1.02,105.06,407.34 (3.96%),266 (53.74%),0.21,1.53
5.0,168,0.99,-10.69,268.89 (2.64%),88 (52.38%),-0.06,-0.49
6.0,83,0.79,-173.37,211.64 (2.12%),40 (48.19%),-2.09,-5.00
7.0,53,0.81,-106.29,169.57 (1.70%),23 (43.40%),-2.01,-5.00
