metric,value
Total Net Profit,-1 471.61
Balance Drawdown Absolute,1 471.61
Equity Drawdown Absolute,1 471.61
Balance Drawdown Maximal,1 568.63 (15.54%)
Equity Drawdown Maximal,1 584.01 (15.66%)
Balance Drawdown Relative,15.54% (1 568.63)
Equity Drawdown Relative,15.66% (1 584.01)
Profit Factor,0.79
Expected Payoff,-1.38
Recovery Factor,-0.93
Sharpe Ratio,-5.00
Total Trades,1070
Short Trades (won %),489 (49.69%)
Long Trades (won %),581 (48.02%)
Total Deals,2140
Profit Trades (% of total),522 (48.79%)
Loss Trades (% of total),548 (51.21%)
Largest profit trade,54.32
Largest loss trade,-72.10
Average profit trade,10.80
Average loss trade,-11.63
Maximum consecutive wins ($),15 (112.70)
Maximum consecutive losses ($),12 (-217.78)
Maximal consecutive profit (count),144.53 (9)
Maximal consecutive loss (count),-217.78 (12)
Average consecutive wins,2
Average consecutive losses,2
