metric,value
Total Net Profit,-1 323.45
Balance Drawdown Absolute,1 323.45
Equity Drawdown Absolute,1 323.45
Balance Drawdown Maximal,1 545.24 (15.12%)
Equity Drawdown Maximal,1 567.50 (15.30%)
Balance Drawdown Relative,15.12% (1 545.24)
Equity Drawdown Relative,15.30% (1 567.50)
Profit Factor,0.85
Expected Payoff,-1.69
Recovery Factor,-0.84
Sharpe Ratio,-5.00
Total Trades,783
Short Trades (won %),365 (50.68%)
Long Trades (won %),418 (50.96%)
Total Deals,1566
Profit Trades (% of total),398 (50.83%)
Loss Trades (% of total),385 (49.17%)
Largest profit trade,62.16
Largest loss trade,-35.96
Average profit trade,19.45
Average loss trade,-19.67
Maximum consecutive wins ($),10 (217.45)
Maximum consecutive losses ($),10 (-191.98)
Maximal consecutive profit (count),217.45 (10)
Maximal consecutive loss (count),-211.13 (9)
Average consecutive wins,2
Average consecutive losses,2
