metric,value
Total Net Profit,205.19
Balance Drawdown Absolute,54.67
Equity Drawdown Absolute,102.99
Balance Drawdown Maximal,100.35 (1.00%)
Equity Drawdown Maximal,162.62 (1.62%)
Balance Drawdown Relative,1.00% (100.35)
Equity Drawdown Relative,1.62% (162.62)
Profit Factor,1.41
Expected Payoff,4.10
Recovery Factor,1.26
Sharpe Ratio,12.70
Total Trades,50
Short Trades (won %),50 (58.00%)
Long Trades (won %),0 (0.00%)
Total Deals,100
Profit Trades (% of total),29 (58.00%)
Loss Trades (% of total),21 (42.00%)
Largest profit trade,69.10
Largest loss trade,-50.47
Average profit trade,24.27
Average loss trade,-20.71
Maximum consecutive wins ($),8 (157.26)
Maximum consecutive losses ($),4 (-29.80)
Maximal consecutive profit (count),157.26 (8)
Maximal consecutive loss (count),-96.99 (2)
Average consecutive wins,2
Average consecutive losses,2
