metric,value
Total Net Profit,266.79
Balance Drawdown Absolute,29.19
Equity Drawdown Absolute,35.77
Balance Drawdown Maximal,135.82 (1.31%)
Equity Drawdown Maximal,190.20 (1.82%)
Balance Drawdown Relative,1.31% (135.82)
Equity Drawdown Relative,1.82% (190.20)
Profit Factor,1.53
Expected Payoff,5.13
Recovery Factor,1.40
Sharpe Ratio,17.78
Total Trades,52
Short Trades (won %),52 (53.85%)
Long Trades (won %),0 (0.00%)
Total Deals,104
Profit Trades (% of total),28 (53.85%)
Loss Trades (% of total),24 (46.15%)
Largest profit trade,81.98
Largest loss trade,-50.76
Average profit trade,27.49
Average loss trade,-18.07
Maximum consecutive wins ($),4 (106.49)
Maximum consecutive losses ($),4 (-54.27)
Maximal consecutive profit (count),155.78 (3)
Maximal consecutive loss (count),-69.13 (2)
Average consecutive wins,2
Average consecutive losses,2
