metric,value
Total Net Profit,341.56
Balance Drawdown Absolute,98.06
Equity Drawdown Absolute,108.59
Balance Drawdown Maximal,164.29 (1.61%)
Equity Drawdown Maximal,172.82 (1.69%)
Balance Drawdown Relative,1.61% (164.29)
Equity Drawdown Relative,1.69% (172.82)
Profit Factor,1.39
Expected Payoff,2.89
Recovery Factor,1.98
Sharpe Ratio,19.31
Total Trades,118
Short Trades (won %),56 (51.79%)
Long Trades (won %),62 (53.23%)
Total Deals,236
Profit Trades (% of total),62 (52.54%)
Loss Trades (% of total),56 (47.46%)
Largest profit trade,63.00
Largest loss trade,-30.66
Average profit trade,19.77
Average loss trade,-14.47
Maximum consecutive wins ($),9 (196.93)
Maximum consecutive losses ($),5 (-51.07)
Maximal consecutive profit (count),219.70 (7)
Maximal consecutive loss (count),-66.44 (3)
Average consecutive wins,2
Average consecutive losses,2
