metric,value
Total Net Profit,527.12
Balance Drawdown Absolute,357.71
Equity Drawdown Absolute,372.59
Balance Drawdown Maximal,490.06 (4.65%)
Equity Drawdown Maximal,512.20 (4.85%)
Balance Drawdown Relative,4.65% (490.06)
Equity Drawdown Relative,4.85% (512.20)
Profit Factor,1.09
Expected Payoff,1.09
Recovery Factor,1.03
Sharpe Ratio,4.92
Total Trades,485
Short Trades (won %),242 (51.65%)
Long Trades (won %),243 (48.56%)
Total Deals,970
Profit Trades (% of total),243 (50.10%)
Loss Trades (% of total),242 (49.90%)
Largest profit trade,63.45
Largest loss trade,-34.58
Average profit trade,25.96
Average loss trade,-21.75
Maximum consecutive wins ($),10 (174.96)
Maximum consecutive losses ($),9 (-232.76)
Maximal consecutive profit (count),216.27 (5)
Maximal consecutive loss (count),-232.76 (9)
Average consecutive wins,2
Average consecutive losses,2
